titulo_vaga,empresa,fonte,link,data_coleta
Vaga Genérica - Ciência de Dados,Gupy Ecosystem,Gupy,https://portal.gupy.io/?term=Ciência%20de%20Dados,2026-09-15 16:49:14
Senior Software Engineer - Python,Venmo,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-python-at-venmo-4465379983?position=1&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=x1%2B5x5PSBy1P%2FNlL16MF5Q%3D%3D,2026-09-15 16:49:23
Python Software Engineer Level 3 or 4 (AHT),Northrop Grumman,LinkedIn,https://www.linkedin.com/jobs/view/python-software-engineer-level-3-or-4-aht-at-northrop-grumman-4454323309?position=2&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=1qw02j%2BVY7q64qub5r1exQ%3D%3D,2026-09-15 16:49:23
Python Django Developer,Tata Consultancy Services,LinkedIn,https://www.linkedin.com/jobs/view/python-django-developer-at-tata-consultancy-services-4451909310?position=4&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=mqwtFfcNLcJ2zHhlbxIz7A%3D%3D,2026-09-15 16:49:23
Senior Software Engineer,MTN Global,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-at-mtn-global-4450823282?position=5&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=Hlq9h7wn1SV82AHv2oxeww%3D%3D,2026-09-15 16:49:23
Staff Software Engineer - Python,PayPal,LinkedIn,https://www.linkedin.com/jobs/view/staff-software-engineer-python-at-paypal-4462478603?position=6&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=p22PlhQZ7MMvVmKpdzLMug%3D%3D,2026-09-15 16:49:23
Python Software Engineer Level 2 (AHT),Northrop Grumman,LinkedIn,https://www.linkedin.com/jobs/view/python-software-engineer-level-2-aht-at-northrop-grumman-4457019516?position=7&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=oQ89j%2Fu0%2FsDJLW88y8uHyQ%3D%3D,2026-09-15 16:49:23
"Backend Engineer, Core Product",Scribe,LinkedIn,https://www.linkedin.com/jobs/view/backend-engineer-core-product-at-scribe-4440359739?position=8&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=cIbpKmSWpItU2Ar%2FNW0yuw%3D%3D,2026-09-15 16:49:23
Senior Python Software Engineer,Kommerce Hub,LinkedIn,https://www.linkedin.com/jobs/view/senior-python-software-engineer-at-kommerce-hub-4312949783?position=10&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=8oPyS8OPi%2BxZTUpfryvdpg%3D%3D,2026-09-15 16:49:23
"Software Engineer, LI",Abacus Intel,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-li-at-abacus-intel-4465102901?position=11&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=mNSBKNEx9TcWrXGx8kjmWA%3D%3D,2026-09-15 16:49:23
Senior Python Engineer,Callibrity,LinkedIn,https://www.linkedin.com/jobs/view/senior-python-engineer-at-callibrity-4433060008?position=12&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=6Nngmi6Ub1QBvqC06MokBQ%3D%3D,2026-09-15 16:49:23
"Senior Software Engineer, Python (Chicago)","Fitch Group, Inc.",LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-python-chicago-at-fitch-group-inc-4267990251?position=13&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=wtqeibBBGaHLdLN4jHJfzg%3D%3D,2026-09-15 16:49:23
Python Developer,LTM,LinkedIn,https://www.linkedin.com/jobs/view/python-developer-at-ltm-4438331320?position=14&pageNum=0&refId=OStA8TMAkOvNN7omYEaawg%3D%3D&trackingId=%2F9Ubc%2BfTaA0S%2FHK%2B6aVsUQ%3D%3D,2026-09-15 16:49:23
